date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:23	12999/12999	---M--	200	added ('OK')	text/html	etag:%223a3b4d177941dfec7588425e8df4eb72%22	https://gochiusa.com/af/	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/index.html	(from )
20:12:23	310/310	---M--	404	error ('Not%20Found')	text/html	etag:%223fe2404938ac42d3770825d4caacfb57%22	https://gochiusa.com/robots.txt		(from )
20:12:38	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Apr%202020%2010:41:15%20GMT	http://www.w3.org/1999/xhtml	D:/gochiusa%2020150401/gochiusa20150401/www.w3.org/1999/xhtml.0.delayed	(from https://gochiusa.com/af/)
20:12:39	347/347	---M--	200	added ('OK')	text/css	etag:%22162cd975a287c314b1cfc86946b17684%22	https://gochiusa.com/af/core_sys/css/import/top/001/set.css	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/css/import/top/001/set.css	(from https://gochiusa.com/af/)
20:12:39	260/260	---M--	200	added ('OK')	text/css	etag:%22f4596a9c391a66a13735cad8f9f6d7e3%22	https://gochiusa.com/af/core_sys/css/import/top/001/dez_pt.css	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/css/import/top/001/dez_pt.css	(from https://gochiusa.com/af/)
20:12:39	525/525	---M--	200	added ('OK')	text/css	etag:%2200be9863dddcc7c8ddf093b0ccfd21ba%22	https://gochiusa.com/af/core_sys/css/import/top/001/unit.css	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/css/import/top/001/unit.css	(from https://gochiusa.com/af/)
20:12:39	151/151	---M--	200	added ('OK')	text/css	etag:%22bbc6c8e6d493b029525a060dc278e2f9%22	https://gochiusa.com/af/core_sys/css/fsc/fss.css	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/css/fsc/fss.css	(from https://gochiusa.com/af/)
20:12:40	151/151	---M--	200	added ('OK')	text/css	etag:%2283e98ee9457f58aee02a96b8a04b1f20%22	https://gochiusa.com/af/core_sys/css/fsc/fsm.css	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/css/fsc/fsm.css	(from https://gochiusa.com/af/)
20:12:40	152/152	---M--	200	added ('OK')	text/css	etag:%2292ac2494ce2f616d54faeac4576ad8d8%22	https://gochiusa.com/af/core_sys/css/fsc/fsl.css	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/css/fsc/fsl.css	(from https://gochiusa.com/af/)
20:12:40	6111/6111	---M--	200	added ('OK')	binary/octet-stream	etag:%22a5b51dabca130a246d50ffd5a9681413%22	https://gochiusa.com/af/core_sys/js/common.js	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/js/common.js	(from https://gochiusa.com/af/)
20:12:40	611/611	---M--	200	added ('OK')	binary/octet-stream	etag:%2262dfe5b29aa24535af8233b127813b0a%22	https://gochiusa.com/af/core_sys/js/user.js	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/js/user.js	(from https://gochiusa.com/af/)
20:12:41	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cdc540a7334d127e5cf8fc2cb10f590a%22	http://connect.facebook.net/ja_JP/all.js	D:/gochiusa%2020150401/gochiusa20150401/connect.facebook.net/ja_JP/all.js	(from https://gochiusa.com/af/)
20:12:41	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	D:/gochiusa%2020150401/gochiusa20150401/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://gochiusa.com/af/)
20:12:41	244278/244278	---M--	200	added ('OK')	image/png	etag:%223d3039be59dfd13e4d4f20d259d2e459%22	https://gochiusa.com/af/core_sys/images/main/story_img.png	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/images/main/story_img.png	(from https://gochiusa.com/af/)
20:12:41	858/858	---M--	200	added ('OK')	image/png	etag:%222003170e6f7ec9e16343294db5590d2c%22	https://gochiusa.com/af/core_sys/images/main/close_bt.png	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/images/main/close_bt.png	(from https://gochiusa.com/af/)
20:12:42	545686/545686	---M--	200	added ('OK')	image/png	etag:%226389ca96cc5a8e26d80f7e25943decdc%22	https://gochiusa.com/af/core_sys/images/main/chino.png	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/images/main/chino.png	(from https://gochiusa.com/af/)
20:12:42	37296/37296	---M--	200	added ('OK')	image/png	etag:%2236a9da9f96b03b2368f3030356b1d323%22	https://gochiusa.com/af/core_sys/images/main/mas1.png	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/images/main/mas1.png	(from https://gochiusa.com/af/)
20:12:42	41406/41406	---M--	200	added ('OK')	image/png	etag:%223cb34425d2b71090335be6281226c6b1%22	https://gochiusa.com/af/core_sys/images/main/mas2.png	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/images/main/mas2.png	(from https://gochiusa.com/af/)
20:12:42	83338/83338	---M--	200	added ('OK')	image/png	etag:%226fc122be1393a6ce4ea37c7ef9c75fd4%22	https://gochiusa.com/af/core_sys/images/main/serif.png	D:/gochiusa%2020150401/gochiusa20150401/gochiusa.com/af/core_sys/images/main/serif.png	(from https://gochiusa.com/af/)
