date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:51	13347/13347	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20Apr%202020%2015:05:55%20GMT	https://gochiusa.com/af/	C:/My%20Websites/123/gochiusa.com/af/index.html	(from )
00:04:51	310/310	---M--	404	error ('Not%20Found')	text/html	etag:%223fe2404938ac42d3770825d4caacfb57%22	https://gochiusa.com/robots.txt		(from )
00:04:51	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Apr%202020%2016:04:51%20GMT	http://www.gochiusa.com/core_sys/images/main/top/main_img.jpg	C:/My%20Websites/123/www.gochiusa.com/core_sys/images/main/top/main_img.0.delayed	(from https://gochiusa.com/af/)
00:04:51	310/310	---M--	404	error ('Not%20Found')	text/html	etag:%223fe2404938ac42d3770825d4caacfb57%22	https://www.gochiusa.com/core_sys/images/main/top/main_img.jpg	C:/My%20Websites/123/www.gochiusa.com/core_sys/images/main/top/main_img.1.delayed	(from https://gochiusa.com/af/)
00:04:52	347/347	---M--	200	added ('OK')	text/css	etag:%22162cd975a287c314b1cfc86946b17684%22	https://gochiusa.com/af/core_sys/css/import/top/001/set.css	C:/My%20Websites/123/gochiusa.com/af/core_sys/css/import/top/001/set.css	(from https://gochiusa.com/af/)
00:04:52	258/258	---M--	200	added ('OK')	text/css	etag:%22285675e69825ddd1926ab7b172c83325%22	https://gochiusa.com/af/core_sys/css/import/top/001/dez_pt.css	C:/My%20Websites/123/gochiusa.com/af/core_sys/css/import/top/001/dez_pt.css	(from https://gochiusa.com/af/)
00:04:52	521/521	---M--	200	added ('OK')	text/css	etag:%226515b568a24b124864e17680aa860c4d%22	https://gochiusa.com/af/core_sys/css/import/top/001/unit.css	C:/My%20Websites/123/gochiusa.com/af/core_sys/css/import/top/001/unit.css	(from https://gochiusa.com/af/)
00:04:52	151/151	---M--	200	added ('OK')	text/css	etag:%22bbc6c8e6d493b029525a060dc278e2f9%22	https://gochiusa.com/af/core_sys/css/fsc/fss.css	C:/My%20Websites/123/gochiusa.com/af/core_sys/css/fsc/fss.css	(from https://gochiusa.com/af/)
00:04:52	151/151	---M--	200	added ('OK')	text/css	etag:%2283e98ee9457f58aee02a96b8a04b1f20%22	https://gochiusa.com/af/core_sys/css/fsc/fsm.css	C:/My%20Websites/123/gochiusa.com/af/core_sys/css/fsc/fsm.css	(from https://gochiusa.com/af/)
00:04:53	152/152	---M--	200	added ('OK')	text/css	etag:%2292ac2494ce2f616d54faeac4576ad8d8%22	https://gochiusa.com/af/core_sys/css/fsc/fsl.css	C:/My%20Websites/123/gochiusa.com/af/core_sys/css/fsc/fsl.css	(from https://gochiusa.com/af/)
00:04:53	6111/6111	---MCZ	200	added ('OK')	text/plain	date:Fri,%2017%20Apr%202020%2015:05:53%20GMT	https://gochiusa.com/af/core_sys/js/common.js	C:/My%20Websites/123/gochiusa.com/af/core_sys/js/common.js	(from https://gochiusa.com/af/)
00:04:53	611/611	---M--	200	added ('OK')	text/plain	etag:%2262dfe5b29aa24535af8233b127813b0a%22	https://gochiusa.com/af/core_sys/js/user.js	C:/My%20Websites/123/gochiusa.com/af/core_sys/js/user.js	(from https://gochiusa.com/af/)
