date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:57:18	208/208	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2001%20Apr%202019%2011:57:25%20GMT	http://www.gochiusa.com/robots.txt		(from )
19:57:19	373983/373983	---M--	200	added ('OK')	text/html	etag:%224c1fee-5b4df-585653d5931c0%22	http://www.gochiusa.com/	F:/w/8888/www.gochiusa.com/index.html	(from )
19:57:21	17542/17542	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22602037-4486-5853593ae7c40%22	http://www.gochiusa.com/core_sys/images/main/af2019/favicon.ico	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/favicon.ico	(from http://www.gochiusa.com/)
19:57:23	210502/210502	---M--	200	added ('OK')	text/css	etag:%224219a6-33646-585369a2e3140%22	http://www.gochiusa.com/core_sys/images/main/af2019/css/af2019.css	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/css/af2019.css	(from http://www.gochiusa.com/)
19:57:24	12507/12507	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd4a0d-30db%22	https://cdnjs.cloudflare.com/ajax/libs/pace/1.0.2/pace.min.js	F:/w/8888/cdnjs.cloudflare.com/ajax/libs/pace/1.0.2/pace.min.js	(from http://www.gochiusa.com/)
19:57:37	13423/13423	---M--	200	added ('OK')	image/png	etag:%2242197d-346f-5853593ae7c40%22	http://www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_1.png	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_1.png	(from http://www.gochiusa.com/)
19:57:38	12918/12918	---M--	200	added ('OK')	image/png	etag:%2242197e-3276-5853593ae7c40%22	http://www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_2.png	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_2.png	(from http://www.gochiusa.com/)
19:57:39	12686/12686	---M--	200	added ('OK')	image/png	etag:%22602031-318e-5853593ae7c40%22	http://www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_3.png	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_3.png	(from http://www.gochiusa.com/)
19:57:41	12519/12519	---M--	200	added ('OK')	image/png	etag:%22421980-30e7-5853593ae7c40%22	http://www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_4.png	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_4.png	(from http://www.gochiusa.com/)
19:57:41	13084/13084	---M--	200	added ('OK')	image/png	etag:%22421981-331c-5853593ae7c40%22	http://www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_5.png	F:/w/8888/www.gochiusa.com/core_sys/images/main/af2019/chara_thumb_5.png	(from http://www.gochiusa.com/)
